"","duration_in_seconds","response_id","user_language","consent","animal_type","animal_type_8_text","org_years","org_geographic_lvl","org_country","org_size","org_budget","org_budget_currency","org_budget_currency_5_text","org_mission","org_mission_4_text","country_focus","org_advocacy","org_advocacy_6_text","org_focus","org_focus_6_text","advocacy_diet","advocacy_diet_4_text","advocacy_corporate","advocacy_corporate_4_text","advocacy_policy","advocacy_policy_5_text","advocacy_inst","advocacy_inst_5_text","interest_diet","interest_diet_r1","interest_diet_r2","interest_corp","interest_corp_r1","interest_corp_r2","interest_policy","interest_policy_r1","interest_policy_r2","interest_inst","interest_inst_r1","interest_inst_r2","interest_direct","interest_direct_r1","interest_direct_r2","advocacy_satisfy_1","advocacy_satisfy_2","advocacy_satisfy_3","advocacy_satisfy_4","advocacy_satisfy_5","advocacy_satisfy_6","advocacy_satisfy_6_text","diet_dissatisfy","corporate_dissatisfy","policy_dissatisfy","insti_dissatisfy","direct_dissatisfy","other_dissatisfy","factors_importance_1","factors_importance_2","factors_importance_3","factors_importance_4","factors_importance_5","obstacles_1","obstacles_2","obstacles_3","obstacles_4","obstacles_5","obstacles_6","resources_1","resources_2","resources_3","resources_4","resources_5","resources_6","resources_7","resources_8","participant_role","participant_role_9_text","q_language","speed_limit","flag_speed"
"176",159311,"R_2DOzNebpGekPGe5","EN","I consent to participate and understand the information provided to me above","Farmed aquatic animals (e.g., farmed fish, shrimp)","","1-2 years","At the international level, operating across multiple regions (e.g., working on projects across North America, Latin America and Southeast Asia)","India,United Kingdom of Great Britain and Northern Ireland,Viet Nam","6-10","","","","Animal welfare: Supports the improvement of animal well-being, humane treatment, and the prevention of suffering","","India","Corporate campaigns (e.g., getting cage-free pledges from producers or working with restaurants),Direct work (e.g., rescues, veterinary care, sanctuaries)","","Direct work (e.g., rescues, veterinary care, sanctuaries)","","","","Other (Please specify)","Implementing stunning requirements by the large producers/processors","","","","","Neutral","","","","","","Somewhat interested","","Does not fit in our short term goals and also we don't see a significant scope there","Very uninterested","We work closely with producers and industry, such work might affect our relation with the industry. Also, we are primarily a welfare focused organisation and such work falls our of our short term goals' purview.","","","","","","Very satisfied","","","Very satisfied","","","","","","","","","Somewhat important","Somewhat important","Somewhat important","Somewhat important","Very important","Somewhat of an obstacle","Very much an obstacle","Very much an obstacle","Somewhat of an obstacle","Somewhat of an obstacle","Somewhat of an obstacle","Somewhat useful","Somewhat useful","Somewhat useful","Not at all useful","Somewhat useful","Somewhat useful","Somewhat useful","Not at all useful","Strategy & organisational oversight,Program, policy & external affairs,Operations","","EN",267.666666666667,FALSE
"177",639,"R_2sSy7grH6wnrzWs","EN","I consent to participate and understand the information provided to me above","Farmed land animals (e.g., cows, pigs, chickens)","","6-10 years","At the national level, operating almost exclusively within a single country","United States of America","Less than 1","","","","Animal rights: Advocates for the inherent rights of animals and seeks to end all forms of exploitation and abuse","","United States of America","Direct work (e.g., rescues, veterinary care, sanctuaries)","","","","","","","","","","","","Neutral","","","Neutral","","","Very interested","","It feels too daunting and I don’t know where to start.","Neutral","","","","","","","","","","Somewhat satisfied","","","","","","","","","Very important","Somewhat important","Somewhat important","Somewhat important","Very important","Very much an obstacle","Very much an obstacle","Very much an obstacle","Somewhat of an obstacle","Somewhat of an obstacle","Somewhat of an obstacle","Very useful","Very useful","Very useful","Very useful","Very useful","Very useful","Very useful","Very useful","Strategy & organisational oversight,Fundraising & grants,Volunteer management,Marketing and communications,Operations,Animal care","","EN",267.666666666667,FALSE
"178",405,"R_3hfoS66zcsjTXc8","EN","I consent to participate and understand the information provided to me above","Farmed land animals (e.g., cows, pigs, chickens),Farmed aquatic animals (e.g., farmed fish, shrimp),Dogs/cats used for meat,Companion animals (e.g., dogs, cats raised as pets),Wild animals,Lab animals,Other captive animals (e.g. zoo animals, circus animals, etc.)","","6-10 years","At the national level, operating almost exclusively within a single country","United States of America","1-5","200000","USD (United States Dollar)","","Mixed: Combines ideas related to both welfare and rights","","United States of America","Individual diet outreach, vegan/vegetarian advocacy, and education","","","","Online campaigns ,Community events/workshops","","","","","","","","","","","Somewhat interested","","Anything to help make a difference.","Neutral","","","Somewhat interested","","Reaching children can change our planet.","Neutral","","","Very satisfied","","","","","","","","","","","","","Very important","Very important","Very important","Very important","Very important","Very much an obstacle","Very much an obstacle","Very much an obstacle","Somewhat of an obstacle","Very much an obstacle","Very much an obstacle","Very useful","Very useful","Somewhat useful","Somewhat useful","Very useful","Somewhat useful","Very useful","Somewhat useful","Strategy & organisational oversight,Program, policy & external affairs,Fundraising & grants,Marketing and communications,Research & analytics","","EN",267.666666666667,FALSE
"179",8271,"R_vIDvOfElibTAlGh","PT-BR","I consent to participate and understand the information provided to me above","Farmed land animals (e.g., cows, pigs, chickens),Farmed aquatic animals (e.g., farmed fish, shrimp),Other animals (please specify):","Cavalos e animais de rodeios","More than 10 years","At the national level, operating almost exclusively within a single country","Afghanistan","1-5","","Other (Please Specify)","Real (Brazil)","Animal rights: Advocates for the inherent rights of animals and seeks to end all forms of exploitation and abuse","","Afghanistan","Policy campaigns (e.g., lobbying national, state, or local government),Institutional campaigns (e.g., working with schools, prisons, etc.),Other (please specify)","Juridicos","Other (please specify)","","","","","","Other legislation or regulations related to farmed animal welfare,Other (Please specify)","Lobby estratégico","Educating students/teachers in schools ,Other (Please specify)","Pressão judicial estrategica","Very interested","","Falta de dinheiro para contratar profissionais para a Organização","Somewhat uninterested","Dinheiro usado para esses fins poderiam serem usados estrategicamente para melhores resultados a médio prazo.","","","","","","","","Somewhat uninterested","Os trabalhos da ONG são mais eficazes em formato de estrategias politicas e juridicas.","","","","Somewhat satisfied","Somewhat satisfied","","Very satisfied","","","","","","","","Somewhat important","Somewhat important","Very important","Very important","Very important","Very much an obstacle","Not at all an obstacle","Somewhat of an obstacle","Not at all an obstacle","Very much an obstacle","Very much an obstacle","Very useful","Very useful","Very useful","Somewhat useful","Not at all useful","Very useful","Not at all useful","Not at all useful","Strategy & organisational oversight,Program, policy & external affairs,Other (please specify)","Diretor Geral","PT-BR",267.666666666667,FALSE
"180",567,"R_2PjnPDKct2GhfML","EN","I consent to participate and understand the information provided to me above","Farmed land animals (e.g., cows, pigs, chickens)","","More than 10 years","At the national level, operating almost exclusively within a single country","United States of America","1-5","500000","USD (United States Dollar)","","Mixed: Combines ideas related to both welfare and rights","","United States of America","Direct work (e.g., rescues, veterinary care, sanctuaries)","","","","","","","","","","","","Somewhat interested","","We work with children who have been abused and removed from their homes.  They don’t always have choices about their diet and we don’t want to push something they can’t do.","Very uninterested","Our mission is to teach children about animal care - we do not work with political or social issues beyond our population served at the farm.","","Somewhat uninterested","Not within our mission","","Somewhat interested","","We do work with several schools and promote good animal care and healthy eating with their students","","","","","","","","Very satisfied","","","","","","","","","Very important","Very important","Very important","Very important","Very important","Not at all an obstacle","Not at all an obstacle","Somewhat of an obstacle","Somewhat of an obstacle","Somewhat of an obstacle","Somewhat of an obstacle","Very useful","Very useful","Very useful","Not at all useful","Somewhat useful","Somewhat useful","Somewhat useful","Not at all useful","Strategy & organisational oversight,Program, policy & external affairs,Fundraising & grants,Volunteer management,Marketing and communications,Operations,Research & analytics","","EN",267.666666666667,FALSE
"181",441,"R_1Le7jOVInFTjlwi","EN","I consent to participate and understand the information provided to me above","Farmed land animals (e.g., cows, pigs, chickens),Companion animals (e.g., dogs, cats raised as pets)","","More than 10 years","At the regional level, operating in multiple countries within one region (e.g., within Asia, Africa, Europe, Latin America, Middle East and North Africa, North America, or Oceania)","United States of America","Less than 1","70000","USD (United States Dollar)","","Animal rights: Advocates for the inherent rights of animals and seeks to end all forms of exploitation and abuse","","","Direct work (e.g., rescues, veterinary care, sanctuaries)","","","","","","","","","","","","Somewhat interested","","As an all-volunteer organization with limited help, time and resources are the biggest obstacles","Somewhat uninterested","Outside of my scope","","Very uninterested","outside scope","","Somewhat uninterested","Don't have time/staff","","","","","","","","","Somewhat satisfied","","","","","","","","","Very important","Very important","Somewhat important","Somewhat important","Very important","Somewhat of an obstacle","Very much an obstacle","Very much an obstacle","Not at all an obstacle","Very much an obstacle","Very much an obstacle","Very useful","Somewhat useful","Very useful","Somewhat useful","Somewhat useful","Somewhat useful","Somewhat useful","Somewhat useful","Strategy & organisational oversight,Program, policy & external affairs,Fundraising & grants,Volunteer management,Marketing and communications,Operations,Animal care","","EN",267.666666666667,FALSE
"182",1250,"R_rjZigY3cX5iOavD","EN","I consent to participate and understand the information provided to me above","Farmed land animals (e.g., cows, pigs, chickens),Farmed aquatic animals (e.g., farmed fish, shrimp)","","6-10 years","At the national level, operating almost exclusively within a single country","India","6-10","10000","USD (United States Dollar)","","Mixed: Combines ideas related to both welfare and rights","","India","Institutional campaigns (e.g., working with schools, prisons, etc.)","","","","","","","","","","Working with educational institutions to increase vegan/vegetarian/higher welfare options","","Very interested","","Lack of resources andsupport","Neutral","","","Neutral","","","","","","Neutral","","","","","","Very satisfied","","","","","","","","","","Very important","Very important","Very important","Very important","Very important","Somewhat of an obstacle","Somewhat of an obstacle","Somewhat of an obstacle","Somewhat of an obstacle","Somewhat of an obstacle","Somewhat of an obstacle","Somewhat useful","Somewhat useful","Somewhat useful","Somewhat useful","Somewhat useful","Somewhat useful","Somewhat useful","Somewhat useful","Strategy & organisational oversight,Program, policy & external affairs,Fundraising & grants,Operations,Research & analytics,Animal care","","EN",267.666666666667,FALSE
"183",341,"R_2TY27YaiXvN4Sna","EN","I consent to participate and understand the information provided to me above","Farmed land animals (e.g., cows, pigs, chickens)","","6-10 years","At the national level, operating almost exclusively within a single country","United States of America","1-5","5000","USD (United States Dollar)","","Other (please specify)","My organization focuses more on people","United States of America","Individual diet outreach, vegan/vegetarian advocacy, and education","","","","Other (please specify)","vegan film and media","","","","","","","","","","Neutral","","","Neutral","","","Neutral","","","Somewhat interested","","I work so much that I rarely have time","Neither satisfied nor dissatisfied","","","","","","","","","","","","","Very important","Very important","Very important","Very important","Very important","Not at all an obstacle","Somewhat of an obstacle","Somewhat of an obstacle","Not at all an obstacle","Very much an obstacle","Very much an obstacle","Very useful","Very useful","Not at all useful","Not at all useful","Not at all useful","Very useful","Not at all useful","Very useful","Strategy & organisational oversight,Fundraising & grants,Marketing and communications,Operations","","EN",267.666666666667,FALSE
"184",1183,"R_1JCHcsxENwgUofJ","EN","I consent to participate and understand the information provided to me above","Farmed land animals (e.g., cows, pigs, chickens)","","3-5 years","At the international level, operating across multiple regions (e.g., working on projects across North America, Latin America and Southeast Asia)","Albania,Argentina,Australia,Austria,Bahamas,Belarus,Bosnia and Herzegovina,Brazil,Ethiopia,France,Gabon,Indonesia,Japan,Malaysia,Mexico,Morocco,Myanmar,Netherlands,Niger,Nigeria,Philippines,Singapore,Spain,Taiwan","21-40","","USD (United States Dollar)","","Animal rights: Advocates for the inherent rights of animals and seeks to end all forms of exploitation and abuse","","Indonesia","Individual diet outreach, vegan/vegetarian advocacy, and education","","","","In-person/street advocacy,Online campaigns ,Community events/workshops","","","","","","","","","","","Very interested","","system change","Somewhat interested","","policy brief and change to Indonesian policy","Somewhat interested","","put people in power in charge","Very interested","","sanctuary to help the animals directly","Somewhat satisfied","","","","","","","","","","","","","Very important","Very important","Very important","Very important","Very important","Somewhat of an obstacle","Very much an obstacle","Very much an obstacle","Somewhat of an obstacle","Very much an obstacle","Very much an obstacle","Somewhat useful","Very useful","Very useful","Very useful","Very useful","Very useful","Very useful","Very useful","Other (please specify)","Project consultant","EN",267.666666666667,FALSE
"185",554729,"R_3ikZKjehEwkGNAu","ZH-S","I consent to participate and understand the information provided to me above","Farmed land animals (e.g., cows, pigs, chickens),Farmed aquatic animals (e.g., farmed fish, shrimp)","","3-5 years","At the national level, operating almost exclusively within a single country","Afghanistan","1-5","150000","USD (United States Dollar)","","Animal welfare: Supports the improvement of animal well-being, humane treatment, and the prevention of suffering","","Afghanistan","Other (please specify)","行业生态支持，为动物福利行业人才提供培训和支持","","","","","","","","","","","Somewhat interested","","机构定位和目标不在这个领域上","Somewhat interested","","机构定位和目标不直接在这个领域上面工作，但我们通过培训和支持行业人才来推动这方面发展","Somewhat interested","","机构定位和目标不直接在这个领域上面工作，但我们通过培训和支持行业人才来推动这方面发展","Somewhat uninterested","机构定位和目标不在这个领域上面工作","","Somewhat uninterested","机构定位和目标不在这个领域上面工作","","","","","","","Very satisfied","","","","","","","","Very important","Very important","Very important","Very important","Very important","Very much an obstacle","Somewhat of an obstacle","Very much an obstacle","Somewhat of an obstacle","Somewhat of an obstacle","Somewhat of an obstacle","Very useful","Very useful","Somewhat useful","Not at all useful","Not at all useful","Not at all useful","Very useful","Not at all useful","Strategy & organisational oversight,Program, policy & external affairs,Operations","","ZH-S",267.666666666667,FALSE
"186",1764,"R_1LAuZa0v1pmCPBK","HI","I consent to participate and understand the information provided to me above","Farmed land animals (e.g., cows, pigs, chickens)","","Less than 1 year","At the national level, operating almost exclusively within a single country","Afghanistan","1-5","5000","USD (United States Dollar)","","Mixed: Combines ideas related to both welfare and rights","","Afghanistan","Direct work (e.g., rescues, veterinary care, sanctuaries)","","","","","","","","","","","","Somewhat interested","","हम जो आसानी और सुलभता से कर रहे है वह ही करते हैं, इससे अधिक कर पाना इसलिए सम्भव नहीं क्योंकि हमारे पास उससे अधिक संसाधन और बजट नहीं है।","Somewhat interested","","किसी भी काम को पहले थोड़ा किया जाता है यानि छोटे रूप में किया जाता है बाद में वह स्वयं धीरे-धीरे बड़ा हो जाता है।","Neutral","","","Very interested","","बच्चे कल का भविष्य है अगर आज से बच्चे जानवर के अधिकार, उसकी अहमियत को समझ जाएंगे तो बड़े होने पर उनमें से तमाम ऐसे भी ओहदे पर बैठे हो सकते जहाँ नीति का निर्धारण वह कर सकते है ऐसे में वह जानवर के हित में बेहतर नीति बनाएंगे।","","","","","","","","Neither satisfied nor dissatisfied","","","","","","","","","Very important","Very important","Somewhat important","Very important","Somewhat important","Somewhat of an obstacle","Very much an obstacle","Very much an obstacle","Somewhat of an obstacle","Somewhat of an obstacle","Very much an obstacle","Very useful","Very useful","Very useful","Very useful","Somewhat useful","Very useful","Very useful","Very useful","Operations","","HI",267.666666666667,FALSE
"187",107,"R_3GdCzCoV1wSD2mV","EN","I consent to participate and understand the information provided to me above","Farmed land animals (e.g., cows, pigs, chickens),Companion animals (e.g., dogs, cats raised as pets)","","More than 10 years","At the national level, operating almost exclusively within a single country","India","41-100","200000","USD (United States Dollar)","","Mixed: Combines ideas related to both welfare and rights","","India","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EN",267.666666666667,TRUE
"188",135,"R_25ygZKgU20rmnho","EN","I consent to participate and understand the information provided to me above","Farmed land animals (e.g., cows, pigs, chickens)","","6-10 years","At the national level, operating almost exclusively within a single country","Philippines","Less than 1","","","","","","Philippines","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EN",267.666666666667,TRUE
"189",155,"R_DAib3o8O90CiZDb","EN","I consent to participate and understand the information provided to me above","Farmed land animals (e.g., cows, pigs, chickens),Farmed aquatic animals (e.g., farmed fish, shrimp),Dogs/cats used for meat,Companion animals (e.g., dogs, cats raised as pets),Wild animals,Lab animals,Other captive animals (e.g. zoo animals, circus animals, etc.)","","3-5 years","At the national level, operating almost exclusively within a single country","India","1-5","","","","","","India","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EN",267.666666666667,TRUE
"190",122,"R_3GiYnxY77Dhmznj","EN","I consent to participate and understand the information provided to me above","Farmed land animals (e.g., cows, pigs, chickens)","","1-2 years","At the national level, operating almost exclusively within a single country","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EN",267.666666666667,TRUE
"191",925245,"R_3plOiNHhHms3Asu","EN","I consent to participate and understand the information provided to me above","Farmed land animals (e.g., cows, pigs, chickens),Farmed aquatic animals (e.g., farmed fish, shrimp)","","3-5 years","At the national level, operating almost exclusively within a single country","Hong Kong (S.A.R.)","Less than 1","","","","Animal rights: Advocates for the inherent rights of animals and seeks to end all forms of exploitation and abuse","","Hong Kong (S.A.R.)","Individual diet outreach, vegan/vegetarian advocacy, and education","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EN",267.666666666667,FALSE
"192",739,"R_yxN2IuUFTqVCyrf","ES-ES","I consent to participate and understand the information provided to me above","Farmed land animals (e.g., cows, pigs, chickens),Farmed aquatic animals (e.g., farmed fish, shrimp),Dogs/cats used for meat,Companion animals (e.g., dogs, cats raised as pets),Wild animals,Lab animals,Other captive animals (e.g. zoo animals, circus animals, etc.),Other animals (please specify):","Humanxs y todxs lxs animales y sus ecosistemas","6-10 years","At the regional level, operating in multiple countries within one region (e.g., within Asia, Africa, Europe, Latin America, Middle East and North Africa, North America, or Oceania)","Argentina,Bolivia,Colombia,Guatemala,Mexico,Spain,Uruguay","Less than 1","467500","Other (Please Specify)","Pesos mexicanos","Animal rights: Advocates for the inherent rights of animals and seeks to end all forms of exploitation and abuse","","Mexico","Individual diet outreach, vegan/vegetarian advocacy, and education,Corporate campaigns (e.g., getting cage-free pledges from producers or working with restaurants),Policy campaigns (e.g., lobbying national, state, or local government),Institutional campaigns (e.g., working with schools, prisons, etc.),Direct work (e.g., rescues, veterinary care, sanctuaries)","","Individual diet outreach, vegan/vegetarian advocacy, and education","","Online campaigns ,Community events/workshops,Other (please specify)","Campañas educativas en espacios públicos o para políticas públicas","Other (Please specify)","campañas de divulgación y denuncia de las prácticas no éticas de las empresas","Other (Please specify)","Campañas en contra de los subsidios al especismo y en apoyo al presupuesto público para santuarios.","Educating students/teachers in schools","","","","","","","","","","","","","","","","","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","","","","","","","","","Somewhat important","Somewhat important","Very important","Somewhat important","Very important","Somewhat of an obstacle","Somewhat of an obstacle","Somewhat of an obstacle","Not at all an obstacle","Somewhat of an obstacle","Very much an obstacle","Very useful","Very useful","Not at all useful","Somewhat useful","Not at all useful","Somewhat useful","Not at all useful","Not at all useful","Strategy & organisational oversight,Program, policy & external affairs,Fundraising & grants,Volunteer management,Marketing and communications,Operations,Research & analytics,Animal care","","ES-ES",267.666666666667,FALSE
"193",372,"R_3CPmumC2QcQf0w2","EN","I consent to participate and understand the information provided to me above","Farmed land animals (e.g., cows, pigs, chickens)","","3-5 years","At the regional level, operating in multiple countries within one region (e.g., within Asia, Africa, Europe, Latin America, Middle East and North Africa, North America, or Oceania)","Malaysia,Nepal","1-5","","","","Mixed: Combines ideas related to both welfare and rights","","Malaysia","Corporate campaigns (e.g., getting cage-free pledges from producers or working with restaurants),Policy campaigns (e.g., lobbying national, state, or local government),Institutional campaigns (e.g., working with schools, prisons, etc.)","","Corporate campaigns (e.g., getting cage-free pledges from producers or working with restaurants)","","","","Campaigns to increase vegan/vegetarian options at businesses","","Other legislation or regulations related to farmed animal welfare","","Working with hospitals to increase vegan/vegetarian/higher welfare options","","Very interested","","igykjhlkhlkhlkhlkjh","","","","","","","","","","Somewhat interested","","lkjhlkhj;lkj;klj","","Somewhat dissatisfied","Neither satisfied nor dissatisfied","Somewhat satisfied","","","","","khlkjhlkjhlkjhl","","","","","Very important","Somewhat important","Somewhat important","Very important","Very important","Very much an obstacle","Not at all an obstacle","Somewhat of an obstacle","Somewhat of an obstacle","Very much an obstacle","Somewhat of an obstacle","Very useful","Very useful","Very useful","Somewhat useful","Somewhat useful","Somewhat useful","Somewhat useful","Somewhat useful","Program, policy & external affairs","","EN",267.666666666667,FALSE
"194",738,"R_1DwY8kGwnh1YJ1H","EN","I consent to participate and understand the information provided to me above","Farmed land animals (e.g., cows, pigs, chickens)","","More than 10 years","At the national level, operating almost exclusively within a single country","Canada","Less than 1","10000","Canadian Dollar","","Mixed: Combines ideas related to both welfare and rights","","Canada","Direct work (e.g., rescues, veterinary care, sanctuaries)","","","","","","","","","","","","Somewhat interested","","Our organization is in its final years. We are no longer accepting animals, attending events or conducting tours. We no longer have the reach, the energy or the support to educate, though we will always advocate","Very uninterested","As stated in my previous answer, we are winding down here","","Very uninterested","Please see previous 2 answers","","Very uninterested","See previous answers","","","","","","","","","Very satisfied","","","","","","","","","Very important","Somewhat important","Somewhat important","Somewhat important","Very important","Somewhat of an obstacle","Somewhat of an obstacle","Very much an obstacle","Somewhat of an obstacle","Very much an obstacle","Very much an obstacle","Somewhat useful","Somewhat useful","Not at all useful","Somewhat useful","Not at all useful","Somewhat useful","Somewhat useful","Somewhat useful","Operations,Animal care","","EN",267.666666666667,FALSE
"195",1153,"R_1Gyq7iy1Oymd5zi","EN","I consent to participate and understand the information provided to me above","Farmed land animals (e.g., cows, pigs, chickens),Companion animals (e.g., dogs, cats raised as pets)","","More than 10 years","At the national level, operating almost exclusively within a single country","India","6-10","","USD (United States Dollar)","","Mixed: Combines ideas related to both welfare and rights","","India","Individual diet outreach, vegan/vegetarian advocacy, and education,Corporate campaigns (e.g., getting cage-free pledges from producers or working with restaurants),Institutional campaigns (e.g., working with schools, prisons, etc.),Direct work (e.g., rescues, veterinary care, sanctuaries)","","Institutional campaigns (e.g., working with schools, prisons, etc.)","","In-person/street advocacy,Community events/workshops","","Campaigns to increase vegan/vegetarian options at businesses","","","","Educating students/teachers in schools ,Working with educational institutions to increase vegan/vegetarian/higher welfare options,Working with hospitals to increase vegan/vegetarian/higher welfare options","","","","","","","","Somewhat interested","","Lack of fund","","","","","","","Very satisfied","Somewhat satisfied","","Very satisfied","Somewhat satisfied","","","","","","","","","Very important","Very important","Very important","Very important","Very important","Very much an obstacle","Somewhat of an obstacle","Not at all an obstacle","Somewhat of an obstacle","Very much an obstacle","Very much an obstacle","Very useful","Very useful","Very useful","Very useful","Very useful","Very useful","Very useful","Very useful","Strategy & organisational oversight,Program, policy & external affairs,Fundraising & grants,Operations,Animal care","","EN",267.666666666667,FALSE
"196",436,"R_1FR4BZqm1CwpMpB","EN","I consent to participate and understand the information provided to me above","Farmed land animals (e.g., cows, pigs, chickens),Companion animals (e.g., dogs, cats raised as pets)","","6-10 years","At the national level, operating almost exclusively within a single country","Viet Nam","1-5","106000","USD (United States Dollar)","","Animal rights: Advocates for the inherent rights of animals and seeks to end all forms of exploitation and abuse","","Viet Nam","Direct work (e.g., rescues, veterinary care, sanctuaries)","","","","","","","","","","","","Somewhat interested","","We don’t have enough staff to do more than just rescue and sanctuary work","Very uninterested","We aren’t welfarists","","Neutral","","","Somewhat uninterested","We are a sanctuary and just don’t have time.","","","","","","","","","Somewhat dissatisfied","","","","","","","We don’t have the funds to do more big impact projects and to reopen our vet training projects.","","Very important","Very important","Very important","Somewhat important","Very important","Very much an obstacle","Very much an obstacle","Somewhat of an obstacle","Very much an obstacle","Very much an obstacle","Very much an obstacle","Very useful","Very useful","Very useful","Somewhat useful","Very useful","Somewhat useful","Somewhat useful","Very useful","Strategy & organisational oversight,Fundraising & grants,Volunteer management,Marketing and communications,Operations,Animal care","","EN",267.666666666667,FALSE
"197",1760,"R_3GEd7nWE6eneBzU","PT-BR","I consent to participate and understand the information provided to me above","Farmed land animals (e.g., cows, pigs, chickens),Farmed aquatic animals (e.g., farmed fish, shrimp),Companion animals (e.g., dogs, cats raised as pets),Other captive animals (e.g. zoo animals, circus animals, etc.)","","More than 10 years","At the national level, operating almost exclusively within a single country","Afghanistan","1-5","42","Other (Please Specify)","Real - Brazil","Animal rights: Advocates for the inherent rights of animals and seeks to end all forms of exploitation and abuse","","Afghanistan","Policy campaigns (e.g., lobbying national, state, or local government),Institutional campaigns (e.g., working with schools, prisons, etc.),Other (please specify)","Ações judiciais","Other (please specify)","","","","","","Cage-free/crate-free legislation or regulations,Other (Please specify)","Fiscalizando e processando judicialmente o poder publico municipal, Estadual e Federal.","Educating students/teachers in schools ,Working with educational institutions to increase vegan/vegetarian/higher welfare options,Other (Please specify)","Auxiliando e fiscalizando o poder publico para construir politicas publicas pelos animais.","Very interested","","Falta de recursos financeiros para contratar profissionais. Infelizmente não é possível contar com voluntarios para execução de projetos.","Very interested","","Falta de recursos financeiros.","","","","","","","Somewhat interested","","Falta de recursos financeiros.","","","Somewhat satisfied","Somewhat dissatisfied","","Very satisfied","","","","","Falta de recursos financeiros para contratar profissionais.","","","Somewhat important","Very important","Very important","Very important","Somewhat important","Somewhat of an obstacle","Not at all an obstacle","Somewhat of an obstacle","Very much an obstacle","Very much an obstacle","Very much an obstacle","Very useful","Very useful","Not at all useful","Not at all useful","Somewhat useful","Not at all useful","Not at all useful","Not at all useful","Strategy & organisational oversight,Program, policy & external affairs,Fundraising & grants,Volunteer management,Marketing and communications,Operations,Research & analytics,Other (please specify)","Auxilio na elaboração das ações judiciais.","PT-BR",267.666666666667,FALSE
"198",476,"R_5o6OLtq72l4xQ8F","ES-ES","I consent to participate and understand the information provided to me above","Farmed land animals (e.g., cows, pigs, chickens),Farmed aquatic animals (e.g., farmed fish, shrimp),Companion animals (e.g., dogs, cats raised as pets),Lab animals","","3-5 years","At the national level, operating almost exclusively within a single country","Mexico","1-5","50000","USD (United States Dollar)","","Mixed: Combines ideas related to both welfare and rights","","Mexico","Individual diet outreach, vegan/vegetarian advocacy, and education,Institutional campaigns (e.g., working with schools, prisons, etc.)","","Individual diet outreach, vegan/vegetarian advocacy, and education","","Online campaigns ,Community events/workshops","","","","","","Working with educational institutions to increase vegan/vegetarian/higher welfare options","","","","","Very interested","","Porque no tengo fondos ni personal para hacerlo.","Very interested","","No tengo fondos ni personal para hacerlo","","","","Very interested","","No tengo fondos","Very satisfied","","","Neither satisfied nor dissatisfied","","","","","","","","","","Very important","Very important","Very important","Very important","Very important","Somewhat of an obstacle","Very much an obstacle","Very much an obstacle","Somewhat of an obstacle","Very much an obstacle","Very much an obstacle","Very useful","Very useful","Very useful","Very useful","Somewhat useful","Very useful","Very useful","Very useful","Fundraising & grants,Marketing and communications,Operations","","ES-ES",267.666666666667,FALSE
"199",578,"R_TthNOL2fzeEWWGZ","EN","I consent to participate and understand the information provided to me above","Farmed land animals (e.g., cows, pigs, chickens),Wild animals,Other captive animals (e.g. zoo animals, circus animals, etc.)","","More than 10 years","At the international level, operating across multiple regions (e.g., working on projects across North America, Latin America and Southeast Asia)","Australia,Brazil,Canada,China,Costa Rica,Denmark,India,Indonesia,Kenya,Netherlands,New Zealand,Philippines,Sweden,Thailand,United States of America,Viet Nam","101+","30000000","USD (United States Dollar)","","Animal welfare: Supports the improvement of animal well-being, humane treatment, and the prevention of suffering","","Brazil,China,Kenya","Corporate campaigns (e.g., getting cage-free pledges from producers or working with restaurants),Policy campaigns (e.g., lobbying national, state, or local government),Direct work (e.g., rescues, veterinary care, sanctuaries)","","Policy campaigns (e.g., lobbying national, state, or local government)","","","","Campaigning for producers and companies to go cage/crate-free,Campaigns to increase vegan/vegetarian options at businesses,Campaigns for businesses to conduct ethical sourcing of other animal products","","Other legislation or regulations related to farmed animal welfare,Other (Please specify)","Climate negotiations, pandemic Treaty, biodiversity","","","Very interested","","Our food revolution work is just beginning","","","","","","","Somewhat interested","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EN",267.666666666667,FALSE
